sku,season,kategori,nama_blend,komposisi_biji,dominant_roast,deskripsi,texture,resep_gramasi,rekomendasi_penyajian
S-WIN-001,Winter,Seasonal Blend,Highland Winter Crest,Java Temanggung Light WetHulled 60% | Java Garut Dark Anaerobic 25% | Java Ijen Raung Light Wine 15%,Light,"Rasa tebal dan mengenyangkan, blend warming ini memadukan biji-biji terbaik dari Java Temanggung dan Java Garut dan Java Ijen Raung. Diproses dengan metode Wine & WetHulled, menghadirkan profil rasa lime, plum, green pepper yang kompleks namun harmonis. Sebuah perpaduan yang dirancang untuk memuaskan selera pecinta kopi sejati.",Clean,Java Temanggung (Light / WetHulled): 600g (60%) | Java Garut (Dark / Anaerobic): 250g (25%) | Java Ijen Raung (Light / Wine): 150g (15%) | total: 1000g,Pour Over Recommended
S-WIN-002,Winter,Seasonal Blend,Highland Winter Series,Wanoja Kamojang Medium Natural 40% | Java Puntang Dark WetHulled 35% | Flores Manggarai Medium Honey 25%,Medium,"Cocok dinikmati di malam dingin, blend intense ini memadukan biji-biji terbaik dari Wanoja Kamojang dan Java Puntang dan Flores Manggarai. Diproses dengan metode Honey & WetHulled, menghadirkan profil rasa dried apricot, dark tobacco, dark chocolate yang kompleks namun harmonis. Sebuah perpaduan yang dirancang untuk memuaskan selera pecinta kopi sejati.",Velvety,Wanoja Kamojang (Medium / Natural): 400g (40%) | Java Puntang (Dark / WetHulled): 350g (35%) | Flores Manggarai (Medium / Honey): 250g (25%) | total: 1000g,Best for Moka Pot
S-WIN-003,Winter,Seasonal Blend,Sacred Winter Blend,Sembalun Rinjani Light SemiWashed 60% | Java Ciwidey Dark Honey 25% | Arjuno Light SemiWashed 15%,Light,"Blend musim dingin yang menghangatkan jiwa, blend spiced ini memadukan biji-biji terbaik dari Sembalun Rinjani dan Java Ciwidey dan Arjuno. Diproses dengan metode SemiWashed & Honey, menghadirkan profil rasa dark sugar, light caramel, toffee yang kompleks namun harmonis. Sebuah perpaduan yang dirancang untuk memuaskan selera pecinta kopi sejati.",Tea-like,Sembalun Rinjani (Light / SemiWashed): 600g (60%) | Java Ciwidey (Dark / Honey): 250g (25%) | Arjuno (Light / SemiWashed): 150g (15%) | total: 1000g,Ideal for Chemex
S-WIN-004,Winter,Seasonal Blend,Copper Winter Estate,Temanggung Medium Honey 55% | Mandheling Dark Wine 30% | Bukit Barisan Dark SemiWashed 15%,Medium,"Cocok dinikmati di malam dingin, blend spiced ini memadukan biji-biji terbaik dari Temanggung dan Mandheling dan Bukit Barisan. Diproses dengan metode SemiWashed & Honey, menghadirkan profil rasa honey, dark caramel, walnut yang kompleks namun harmonis. Sebuah perpaduan yang dirancang untuk memuaskan selera pecinta kopi sejati.",Smooth,Temanggung (Medium / Honey): 550g (55%) | Mandheling (Dark / Wine): 300g (30%) | Bukit Barisan (Dark / SemiWashed): 150g (15%) | total: 1000g,Best for Moka Pot
S-WIN-005,Winter,Seasonal Blend,Sunrise Winter Ridge,Toraja Kalosi Light Natural 65% | Java Ijen Raung Light SemiWashed 35%,Light,"Blend musim dingin yang menghangatkan jiwa, blend comforting ini memadukan biji-biji terbaik dari Toraja Kalosi dan Java Ijen Raung. Diproses dengan metode SemiWashed & Natural, menghadirkan profil rasa tropical fruit, strawberry, blueberry yang kompleks namun harmonis. Sebuah perpaduan yang dirancang untuk memuaskan selera pecinta kopi sejati.",Clean,Toraja Kalosi (Light / Natural): 650g (65%) | Java Ijen Raung (Light / SemiWashed): 350g (35%) | total: 1000g,Pour Over Recommended
S-WIN-006,Winter,Seasonal Blend,Mystic Winter Story,Mandheling Medium Wine 60% | Java Ciwidey Light SemiWashed 25% | Papua Wamena Dark SemiWashed 15%,Medium,"Blend musim dingin yang menghangatkan jiwa, blend intense ini memadukan biji-biji terbaik dari Mandheling dan Java Ciwidey dan Papua Wamena. Diproses dengan metode SemiWashed & Wine, menghadirkan profil rasa espresso, walnut, oolong tea yang kompleks namun harmonis. Sebuah perpaduan yang dirancang untuk memuaskan selera pecinta kopi sejati.",Round,Mandheling (Medium / Wine): 600g (60%) | Java Ciwidey (Light / SemiWashed): 250g (25%) | Papua Wamena (Dark / SemiWashed): 150g (15%) | total: 1000g,Versatile for Espresso & Filter
S-WIN-007,Winter,Seasonal Blend,Midnight Winter Signature,Bali Kintamani Light Honey 55% | Toraja Kalosi Medium SemiWashed 30% | Java Garut Light Washed 15%,Light,"Cocok dinikmati di malam dingin, blend intense ini memadukan biji-biji terbaik dari Bali Kintamani dan Toraja Kalosi dan Java Garut. Diproses dengan metode SemiWashed & Washed, menghadirkan profil rasa peach, floral, nectarine yang kompleks namun harmonis. Sebuah perpaduan yang dirancang untuk memuaskan selera pecinta kopi sejati.",Clean,Bali Kintamani (Light / Honey): 550g (55%) | Toraja Kalosi (Medium / SemiWashed): 300g (30%) | Java Garut (Light / Washed): 150g (15%) | total: 1000g,Cocok untuk AeroPress
S-WIN-008,Winter,Seasonal Blend,Highland Winter Signature,Flores Bajawa Medium Wine 60% | Java Ciwidey Dark SemiWashed 25% | Lampung Robusta Premium Dark Wine 15%,Medium,"Rasa tebal dan mengenyangkan, blend warming ini memadukan biji-biji terbaik dari Flores Bajawa dan Java Ciwidey dan Lampung Robusta Premium. Diproses dengan metode SemiWashed & Wine, menghadirkan profil rasa roasted grape, dark espresso, roasted grain yang kompleks namun harmonis. Sebuah perpaduan yang dirancang untuk memuaskan selera pecinta kopi sejati.",Balanced,Flores Bajawa (Medium / Wine): 600g (60%) | Java Ciwidey (Dark / SemiWashed): 250g (25%) | Lampung Robusta Premium (Dark / Wine): 150g (15%) | total: 1000g,Cocok untuk French Press & Espresso
S-WIN-009,Winter,Seasonal Blend,Celestial Winter Ridge,Solok Radjo Light Natural 55% | Bengkulu Dark SemiWashed 30% | Mandheling Medium Wine 15%,Medium,"Cocok dinikmati di malam dingin, blend comforting ini memadukan biji-biji terbaik dari Solok Radjo dan Bengkulu dan Mandheling. Diproses dengan metode SemiWashed & Wine, menghadirkan profil rasa dark caramel, port wine, watermelon yang kompleks namun harmonis. Sebuah perpaduan yang dirancang untuk memuaskan selera pecinta kopi sejati.",Medium Body,Solok Radjo (Light / Natural): 550g (55%) | Bengkulu (Dark / SemiWashed): 300g (30%) | Mandheling (Medium / Wine): 150g (15%) | total: 1000g,Cocok untuk French Press & Espresso
S-WIN-010,Winter,Seasonal Blend,Primal Winter Origin,Mandheling Light Natural 70% | Java Ciwidey Medium Washed 30%,Light,"Rasa tebal dan mengenyangkan, blend warming ini memadukan biji-biji terbaik dari Mandheling dan Java Ciwidey. Diproses dengan metode Washed & Natural, menghadirkan profil rasa watermelon, blueberry, hazelnut yang kompleks namun harmonis. Sebuah perpaduan yang dirancang untuk memuaskan selera pecinta kopi sejati.",Clean,Mandheling (Light / Natural): 700g (70%) | Java Ciwidey (Medium / Washed): 300g (30%) | total: 1000g,Pour Over Recommended
