sku,season,season_universe,season_tagline,kategori,nama_blend,narrative_context,komposisi_biji,dominant_roast,deskripsi,texture,resep_gramasi,rekomendasi_penyajian
S-WIN-001,Winter,The Dark Passage,Di mana perjalanan dimulai — dalam kegelapan yang menyimpan bara.,Seasonal Blend,Shrouded Waystation,The Dark Passage · Seasonal collection,Java Temanggung Light WetHulled 60% | Java Garut Dark Anaerobic 25% | Java Ijen Raung Light Wine 15%,Light,"Di singgahan terakhir sebelum salju menutup jalur, blend ini mempertemukan biji-biji dari Java Temanggung serta Java Garut serta Java Ijen Raung dalam sebuah komposisi yang menceritakan kekayaan dataran Nusantara. Diproses dengan metode WetHulled dan Anaerobic, menghadirkan nuansa lime, plum, green pepper yang bersih namun penuh kedalaman. Diciptakan untuk jiwa-jiwa yang memahami bahwa perjalanan terbaik dimulai dari yang paling sunyi.",Clean,Java Temanggung (Light / WetHulled): 600g (60%) | Java Garut (Dark / Anaerobic): 250g (25%) | Java Ijen Raung (Light / Wine): 150g (15%) | total: 1000g,Pour Over Recommended
S-WIN-002,Winter,The Dark Passage,Di mana perjalanan dimulai — dalam kegelapan yang menyimpan bara.,Seasonal Blend,Shrouded Refuge,The Dark Passage · Seasonal collection,Wanoja Kamojang Medium Natural 40% | Java Puntang Dark WetHulled 35% | Flores Manggarai Medium Honey 25%,Medium,"Dalam keheningan malam di antara dua puncak, blend ini mempertemukan biji-biji dari Wanoja Kamojang serta Java Puntang serta Flores Manggarai dalam sebuah komposisi yang menceritakan kekayaan dataran Nusantara. Diproses dengan metode Natural dan WetHulled, menghadirkan nuansa dried apricot, dark tobacco, dark chocolate yang bersih namun penuh kedalaman. Untuk setiap ekspeditor yang pernah menemukan kehangatan di tempat yang paling dingin.",Velvety,Wanoja Kamojang (Medium / Natural): 400g (40%) | Java Puntang (Dark / WetHulled): 350g (35%) | Flores Manggarai (Medium / Honey): 250g (25%) | total: 1000g,Cocok untuk French Press & Espresso
S-WIN-003,Winter,The Dark Passage,Di mana perjalanan dimulai — dalam kegelapan yang menyimpan bara.,Seasonal Blend,Windswept Keep,The Dark Passage · Seasonal collection,Java Ciwidey Dark Honey 55% | Arjuno Light SemiWashed 30% | Kerinci Kayu Aro Light Anaerobic 15%,Medium,"Seperti api yang tak kunjung padam di pos terakhir, blend ini mempertemukan biji-biji dari Java Ciwidey serta Arjuno serta Kerinci Kayu Aro dalam sebuah komposisi yang menceritakan kekayaan dataran Nusantara. Diproses dengan metode Honey dan SemiWashed, menghadirkan nuansa passion fruit, smoked almond, oolong tea yang bersih namun penuh kedalaman. Untuk setiap ekspeditor yang pernah menemukan kehangatan di tempat yang paling dingin.",Balanced,Java Ciwidey (Dark / Honey): 550g (55%) | Arjuno (Light / SemiWashed): 300g (30%) | Kerinci Kayu Aro (Light / Anaerobic): 150g (15%) | total: 1000g,Best for Moka Pot
S-WIN-004,Winter,The Dark Passage,Di mana perjalanan dimulai — dalam kegelapan yang menyimpan bara.,Seasonal Blend,Dimmed Barracks,The Dark Passage · Seasonal collection,Java Garut Light Washed 40% | Temanggung Medium Honey 60%,Light,"Seperti api yang tak kunjung padam di pos terakhir, blend ini mempertemukan biji-biji dari Java Garut serta Temanggung dalam sebuah komposisi yang menceritakan kekayaan dataran Nusantara. Diproses dengan metode Washed dan Honey, menghadirkan nuansa honey, citrus, bergamot yang bersih namun penuh kedalaman. Sebuah penghormatan kepada mereka yang tak takut melangkah dalam gelap.",Light Body,Java Garut (Light / Washed): 400g (40%) | Temanggung (Medium / Honey): 600g (60%) | total: 1000g,Cocok untuk AeroPress
S-WIN-005,Winter,The Dark Passage,Di mana perjalanan dimulai — dalam kegelapan yang menyimpan bara.,Seasonal Blend,Hollow Burrow,The Dark Passage · Seasonal collection,Mandheling Light WetHulled 60% | Toraja Kalosi Light Natural 40%,Light,"Bagi para ekspeditor yang melewati malam terpanjang, blend ini mempertemukan biji-biji dari Mandheling serta Toraja Kalosi dalam sebuah komposisi yang menceritakan kekayaan dataran Nusantara. Diproses dengan metode WetHulled dan Natural, menghadirkan nuansa tobacco leaf, herb, green pepper yang bersih namun penuh kedalaman. Untuk setiap ekspeditor yang pernah menemukan kehangatan di tempat yang paling dingin.",Clean,Mandheling (Light / WetHulled): 600g (60%) | Toraja Kalosi (Light / Natural): 400g (40%) | total: 1000g,Pour Over Recommended
S-WIN-006,Winter,The Dark Passage,Di mana perjalanan dimulai — dalam kegelapan yang menyimpan bara.,Seasonal Blend,Sealed Passage,The Dark Passage · Seasonal collection,Mandheling Medium Wine 60% | Java Ciwidey Light SemiWashed 25% | Papua Wamena Dark SemiWashed 15%,Medium,"Ketika angin gunung membekukan jejak perjalanan, blend ini mempertemukan biji-biji dari Mandheling serta Java Ciwidey serta Papua Wamena dalam sebuah komposisi yang menceritakan kekayaan dataran Nusantara. Diproses dengan metode Wine dan SemiWashed, menghadirkan nuansa espresso, walnut, oolong tea yang bersih namun penuh kedalaman. Sebuah penghormatan kepada mereka yang tak takut melangkah dalam gelap.",Round,Mandheling (Medium / Wine): 600g (60%) | Java Ciwidey (Light / SemiWashed): 250g (25%) | Papua Wamena (Dark / SemiWashed): 150g (15%) | total: 1000g,Cocok untuk French Press & Espresso
S-WIN-007,Winter,The Dark Passage,Di mana perjalanan dimulai — dalam kegelapan yang menyimpan bara.,Seasonal Blend,Heavy Garrison,The Dark Passage · Seasonal collection,Toraja Kalosi Medium SemiWashed 40% | Java Garut Light Washed 35% | Bengkulu Medium WetHulled 25%,Light,"Bagi para ekspeditor yang melewati malam terpanjang, blend ini mempertemukan biji-biji dari Toraja Kalosi serta Java Garut serta Bengkulu dalam sebuah komposisi yang menceritakan kekayaan dataran Nusantara. Diproses dengan metode SemiWashed dan Washed, menghadirkan nuansa woody, mushroom, jasmine yang bersih namun penuh kedalaman. Sebuah penghormatan kepada mereka yang tak takut melangkah dalam gelap.",Clean,Toraja Kalosi (Medium / SemiWashed): 400g (40%) | Java Garut (Light / Washed): 350g (35%) | Bengkulu (Medium / WetHulled): 250g (25%) | total: 1000g,Cocok untuk AeroPress
S-WIN-008,Winter,The Dark Passage,Di mana perjalanan dimulai — dalam kegelapan yang menyimpan bara.,Seasonal Blend,Shrouded Garrison,The Dark Passage · Seasonal collection,Flores Bajawa Medium Wine 60% | Java Ciwidey Dark SemiWashed 25% | Lampung Robusta Premium Dark Wine 15%,Medium,"Bagi para ekspeditor yang melewati malam terpanjang, blend ini mempertemukan biji-biji dari Flores Bajawa serta Java Ciwidey serta Lampung Robusta Premium dalam sebuah komposisi yang menceritakan kekayaan dataran Nusantara. Diproses dengan metode Wine dan SemiWashed, menghadirkan nuansa roasted grape, dark espresso, roasted grain yang bersih namun penuh kedalaman. Blend yang diracik bagi mereka yang menghargai keberanian sebuah permulaan.",Balanced,Flores Bajawa (Medium / Wine): 600g (60%) | Java Ciwidey (Dark / SemiWashed): 250g (25%) | Lampung Robusta Premium (Dark / Wine): 150g (15%) | total: 1000g,Versatile for Espresso & Filter
S-WIN-009,Winter,The Dark Passage,Di mana perjalanan dimulai — dalam kegelapan yang menyimpan bara.,Seasonal Blend,Bitter Bastion,The Dark Passage · Seasonal collection,Solok Radjo Light Natural 55% | Bengkulu Dark SemiWashed 30% | Mandheling Medium Wine 15%,Medium,"Dalam keheningan malam di antara dua puncak, blend ini mempertemukan biji-biji dari Solok Radjo serta Bengkulu serta Mandheling dalam sebuah komposisi yang menceritakan kekayaan dataran Nusantara. Diproses dengan metode Natural dan SemiWashed, menghadirkan nuansa dark caramel, port wine, watermelon yang bersih namun penuh kedalaman. Sebuah penghormatan kepada mereka yang tak takut melangkah dalam gelap.",Medium Body,Solok Radjo (Light / Natural): 550g (55%) | Bengkulu (Dark / SemiWashed): 300g (30%) | Mandheling (Medium / Wine): 150g (15%) | total: 1000g,Versatile for Espresso & Filter
S-WIN-010,Winter,The Dark Passage,Di mana perjalanan dimulai — dalam kegelapan yang menyimpan bara.,Seasonal Blend,Hollow Hearth,The Dark Passage · Seasonal collection,Java Ciwidey Medium Washed 40% | Wanoja Kamojang Medium Honey 60%,Medium,"Di singgahan terakhir sebelum salju menutup jalur, blend ini mempertemukan biji-biji dari Java Ciwidey serta Wanoja Kamojang dalam sebuah komposisi yang menceritakan kekayaan dataran Nusantara. Diproses dengan metode Washed dan Honey, menghadirkan nuansa brown sugar, toffee, caramel yang bersih namun penuh kedalaman. Diciptakan untuk jiwa-jiwa yang memahami bahwa perjalanan terbaik dimulai dari yang paling sunyi.",Velvety,Java Ciwidey (Medium / Washed): 400g (40%) | Wanoja Kamojang (Medium / Honey): 600g (60%) | total: 1000g,Versatile for Espresso & Filter
S-WIN-011,Winter,The Dark Passage,Di mana perjalanan dimulai — dalam kegelapan yang menyimpan bara.,Seasonal Blend,Ember Rampart,The Dark Passage · Seasonal collection,Flores Bajawa Light Washed 55% | Java Temanggung Dark WetHulled 45%,Medium,"Seperti api yang tak kunjung padam di pos terakhir, blend ini mempertemukan biji-biji dari Flores Bajawa serta Java Temanggung dalam sebuah komposisi yang menceritakan kekayaan dataran Nusantara. Diproses dengan metode Washed dan WetHulled, menghadirkan nuansa clove, bergamot, green tea yang bersih namun penuh kedalaman. Blend yang diracik bagi mereka yang menghargai keberanian sebuah permulaan.",Velvety,Flores Bajawa (Light / Washed): 550g (55%) | Java Temanggung (Dark / WetHulled): 450g (45%) | total: 1000g,Versatile for Espresso & Filter
